employee_id,department,tenure_years,engagement_score,open_comment
E001,Engineering,2.3,4,"I appreciate the flexibility and my team, but sometimes communication from leadership feels unclear."
E002,Marketing,1.1,3,"Workload has increased a lot recently and it's becoming hard to maintain balance."
E003,Sales,4.8,5,"My manager is fantastic and gives helpful feedback that supports my growth."
E004,People,3.2,2,"Career development feels limited and it's unclear how to move to the next level."
E005,Support,0.9,3,"The team is supportive but we need better documentation for common issues."
E006,Engineering,5.4,4,"Enjoy working here overall, but cross-team collaboration could improve."
E007,Finance,2.0,3,"Work-from-home flexibility is great, but we're understaffed which increases stress."
E008,Marketing,1.7,4,"Leadership has been transparent lately which I appreciate."
E009,Sales,3.9,2,"Compensation isn't competitive and it's affecting morale on the team."
E010,Engineering,6.1,5,"Love the engineering culture—smart people and challenging problems."
E011,People,2.8,4,"My manager genuinely cares about my well-being and development."
E012,Support,1.2,2,"Burnout is real on this team. Ticket volume is too high."
E013,Engineering,0.6,3,"Onboarding was decent but I think documentation could be clearer."
E014,Finance,7.0,4,"Stable environment and supportive colleagues."
E015,Marketing,3.1,2,"Expectations shift too often and priorities aren't clear."
E016,Sales,2.4,3,"The new comp structure is confusing but improving."
E017,Engineering,1.9,4,"Appreciate the flexibility and trust, though processes can be slow."
E018,People,4.4,5,"Our team collaborates extremely well and leadership is empowering."
E019,Support,3.3,3,"Systems are outdated and slow, which impacts our response times."
E020,Engineering,2.6,2,"Not receiving enough constructive feedback to grow."
E021,Finance,1.5,4,"Clear expectations and fair workload overall."
E022,Marketing,2.9,5,"Team culture is creative and collaborative, really enjoy working here."
E023,Sales,0.8,3,"I like the team but training could be more robust."
E024,Engineering,5.7,4,"Great technical challenges but project planning could improve."
E025,People,3.6,2,"There's confusion around our strategy and how success is measured."
E026,Support,2.1,4,"Good leadership and fair workload right now."
E027,Engineering,1.3,3,"Better hardware would help productivity."
E028,Finance,4.9,5,"I feel recognized and supported by my manager."
E029,Marketing,1.0,3,"Deadlines come in last-minute too often."
E030,Sales,2.7,2,"Pressure to hit targets is overwhelming this quarter."
E031,Engineering,3.4,4,"Appreciate mentorship opportunities."
E032,People,2.2,4,"Cross-team relationships are strong and support collaboration."
E033,Support,1.8,2,"We need more headcount to keep up with volume."
E034,Finance,0.7,3,"Onboarding was okay but could be more structured."
E035,Marketing,4.2,5,"Leadership celebrates wins and encourages experimentation."
E036,Sales,1.6,3,"Team is helpful but tools are outdated."
E037,Engineering,2.5,4,"I like our shift toward more asynchronous work."
E038,People,5.1,5,"Our team feels aligned with company mission."
E039,Support,0.5,3,"Supportive team but the shift schedule is tough."
